order_number,external_order_number,created,status,order_item_id,variant_title,color,imported_design,image
RQ-73295-24985,577111867875561628,20/09/2025,in production,68cdfa17c3bd7a25f8fc1506,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RQ-73999-92367,577111833455333434,20/09/2025,in production,68cdfa178729ece11e4621f5,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-56722-28596,577111791383384753,20/09/2025,paid_fulfillment_cost,68cdfa17c3bd7acbb3fc1524,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-69699-59969,577111866284020251,20/09/2025,paid_fulfillment_cost,68cdfa188729ec1343462219,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RP-34428-23344,577111881023066117,20/09/2025,paid_fulfillment_cost,68cdfa187cd8e53935208d7a,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-22873-76536,577111889318809628,20/09/2025,paid_fulfillment_cost,68cdfa19729448d571184b9b,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-94654-82399,577111796025430267,20/09/2025,in production,68cdfa1a7cd8e521d1208d99,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-76675-82274,577111827738432212,20/09/2025,in production,68cdfa1a7cd8e5210c208db7,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-96363-28485,577111815528157408,20/09/2025,in production,68cdfa348729ec3a6b462279,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RV-74865-34622,577111823238729904,20/09/2025,paid_fulfillment_cost,68cdfa378729ec82b14622a0,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
